TIME;POSITION;WEIGHT;SPEED
29,88504291;0,018847656;1,304703283;0
29,90795493;0,018847656;1,388194871;0
29,93228436;0,018847656;1,394519949;0
29,95619345;0,018847656;1,884705019;0,052155353
29,98145437;0,019479167;1,71701653;0
30,00531673;0,019479167;1,528016067;0
30,02860856;0,019479167;1,693178022;0
30,05396914;0,019479167;1,746803105;0
30,07899094;0,019479167;1,801272225;0
30,10322952;0,019505208;2,020236182;-0,078233028
30,12825274;0,018847656;1,642287934;0
30,1532774;0,018847656;1,802187395;0
30,1756537;0,018847656;1,803111362;0
30,19999838;0,018489582;1,220989394;-0,052155353
30,25782561;0,017382812;1,498764002;-0,026077675
30,27511048;0,016764322;1,615798438;0
30,29354286;0,016347656;1,553446949;0
30,31417894;0,01593099;1,44521091;0
30,33840275;0,015097656;1,532847798;0,078233028
30,36448693;0,015800782;2,024935412;0
30,38799405;0,015950521;2,024827909;0,026077675
30,41175938;0,016562499;1,727355266;0
30,43694353;0,016979167;1,839934659;0
30,46025443;0,017395834;2,018889284;0
30,48432851;0,0178125;1,967605877;0
30,50671101;0,0178125;1,966226363;0
30,53206635;0,0178125;2,002025914;0,026077675
30,5553658;0,018229166;2,021411633;0
30,57824922;0,018645834;2,27229538;0,026077675
30,60101008;0,0190625;2,301592612;0,026077675
30,6240449;0,020266928;2,740035081;0,052155349
30,6474998;0,021640625;2,777545452;0,026077675
30,67210054;0,023242187;3,386349607;0,052155353
30,69569659;0,02532552;4,570323229;0,026077678
30,72102571;0,028671876;4,966524124;0,078233028
30,74565268;0,033750001;6,497741032;0,156466055
30,76987839;0,044062499;9,701273632;0,312932111
30,79338622;0,056959637;11,93725491;0,260776754
30,81746936;0,067408852;12,67907925;0,208621412
30,84020448;0,076972656;15,15904198;0,260776754
30,86384106;0,088932291;16,93959274;0,208621412
30,88791966;0,095794268;16,74864178;0,078233043
30,91167021;0,099257812;17,77962971;0,078233043
30,93691373;0,106074221;19,57308083;0,286854447
30,96239161;0,136920571;19,77270584;1,121340036
30,98589087;0,204824224;19,67003002;1,92974799
31,00917506;0,313066393;20,09739304;2,894621985
31,03324676;0,470930994;20,57705956;3,859495981
31,05668402;0,669648409;22,70838146;4,850447729
31,08196139;0,933007836;18,68603096;5,684933437
31,10495639;1,208496094;18,82918968;6,362952626
31,12822652;1,514329433;19,66287346;6,884506731
31,15193367;1,853365898;18,06511288;7,588603913
31,17529035;2,235937595;19,81095715;7,953691022
31,20077181;2,620130301;20,40905457;7,953691022
31,23153329;3,108808517;17,9960535;7,979769014
31,29396605;4,077148438;19,25765648;7,771147467
31,31496;4,402506351;20,05072174;7,797224981
31,33202744;4,670006275;20,07977715;7,901535993
31,35121846;4,976302147;20,67184238;8,110157062
31,36948442;5,27227211;20,09484901;8,110157062
31,38863587;5,579094887;19,65461998;7,953691022
31,40658903;5,864518166;18,83198433;8,084080025
31,42409062;6,151321411;20,40605736;8,397012106
31,44601774;6,522825718;18,25598316;8,527400155
31,46350646;6,822402477;19,72007961;8,605633175
31,48294234;7,157213688;19,12076511;8,501322163
31,50260997;7,482714653;20,11007881;8,031924042
